AirportCode,HubCode,source,name,latitude,longitude,timezone,is_visible,default_language,is_deleted,cities_id
POX,PAR,TTX,Pontoise-Cormeilles Airport,48.971586,2.56,100,t,en-us,f,b3ba7744-390d-4f28-be2f-06a547a68ac4
VIY,PAR,TTX,Villacoublay-Velizy Airport,48.971586,2.56,100,t,en-us,f,b3ba7744-390d-4f28-be2f-06a547a68ac4
XCR,PAR,TTX,Paris Chalons-Vatry Airport,48.971586,2.56,100,t,en-us,f,b3ba7744-390d-4f28-be2f-06a547a68ac4
BBX,PHL,TTX,Philadelphia Wings Field,40.099627,-75.106573,-500,t,en-us,f,NULL
PHL,PHL,TTX,"Philadelphia(Intl), PA USA",40.099627,-75.106573,-500,t,en-us,f,NULL
TTN,PHL,TTX,"Philadelphia(Trenton-Mercer), NJ USA",40.099627,-75.106573,-500,t,en-us,f,NULL
KEF,REK,TTX,Reykjavik Keflavik International Apt,64.0575,-22.27306,0,t,en-us,f,NULL
RKV,REK,TTX,Reykjavik Domestic Airport,64.0575,-22.27306,0,t,en-us,f,NULL
GIG,RIO,TTX,Rio De Janeiro(Intl) Rj Brazil,-22.86153,-43.205695,-300,t,en-us,f,e65c1c79-1aeb-4595-91eb-574476979f09
SDU,RIO,TTX,Rio De Janeiro(Dumont) Rj Brazil,-22.86153,-43.205695,-300,t,en-us,f,e65c1c79-1aeb-4595-91eb-574476979f09
CIA,ROM,TTX,Rome Ciampino Apt,41.799585,12.416945,100,t,en-us,f,38a5c6b2-11f4-48a1-9a98-1d8231992d3b
FCO,ROM,TTX,Rome Fiumicino Apt,41.799585,12.416945,100,t,en-us,f,38a5c6b2-11f4-48a1-9a98-1d8231992d3b
CGH,SAO,TTX,Sao Paulo(Congonhas) Sp Brazil,-23.355557,-46.754073,-300,t,en-us,f,6403e6c7-3fd8-473f-99e6-6500d344a5f5
GRU,SAO,TTX,Sao Paulo(Intl) Sp Brazil,-23.355557,-46.754073,-300,t,en-us,f,6403e6c7-3fd8-473f-99e6-6500d344a5f5
VCP,SAO,TTX,Sao Paulo Viracopos-Campinas Intl Apt,-23.355557,-46.754073,-300,t,en-us,f,6403e6c7-3fd8-473f-99e6-6500d344a5f5
GMP,SEL,TTX,Seoul (Gimpo Intl) Korea,37.49037,126.784633,900,t,en-us,f,51e63ec6-e768-4a2b-9233-17a9b5608dce
ICN,SEL,TTX,Seoul (Incheon Intl) Korea,37.49037,126.784633,900,t,en-us,f,51e63ec6-e768-4a2b-9233-17a9b5608dce
SSN,SEL,TTX,Seoul Ab Airport,37.49037,126.784633,900,t,en-us,f,51e63ec6-e768-4a2b-9233-17a9b5608dce
ARN,STO,TTX,Stockholm Arlanda Apt,59.346108,17.351528,100,t,en-us,f,2b2ee19f-823a-4f23-8ede-51cec33b11d7
BMA,STO,TTX,Stockholm Bromma Apt,59.346108,17.351528,100,t,en-us,f,2b2ee19f-823a-4f23-8ede-51cec33b11d7
NYO,STO,TTX,Stockholm Skavsta Airport,59.346108,17.351528,100,t,en-us,f,2b2ee19f-823a-4f23-8ede-51cec33b11d7
VST,STO,TTX,Stockholm Vasteras Apt,59.346108,17.351528,100,t,en-us,f,2b2ee19f-823a-4f23-8ede-51cec33b11d7
HND,TYO,TTX,Tokyo(Haneda) Japan,35.68898,139.838703,900,t,en-us,f,a450d7d7-7eb5-472a-bbe3-c9f0edc876d7
NRT,TYO,TTX,Tokyo(Narita) Japan,35.68898,139.838703,900,t,en-us,f,a450d7d7-7eb5-472a-bbe3-c9f0edc876d7
OKO,TYO,TTX,Tokyo Yokota AB,35.68898,139.838703,900,t,en-us,f,a450d7d7-7eb5-472a-bbe3-c9f0edc876d7
BOF,WAS,TTX,Washington Bolling AFB Heliport,38.947722,-77.042388,-500,t,en-us,f,793b256d-a241-4151-86f0-b5eae253fc52
BWI,WAS,TTX,"Baltimore(Intl), MD USA",38.947722,-77.042388,-500,t,en-us,f,793b256d-a241-4151-86f0-b5eae253fc52
BZS,WAS,TTX,Buzzards Point S Airport,38.947722,-77.042388,-500,t,en-us,f,793b256d-a241-4151-86f0-b5eae253fc52
DCA,WAS,TTX,"Washington (Reagan Natl), DC USA",38.947722,-77.042388,-500,t,en-us,f,793b256d-a241-4151-86f0-b5eae253fc52
IAD,WAS,TTX,"Washington(Dulles Intl), DC USA",38.947722,-77.042388,-500,t,en-us,f,793b256d-a241-4151-86f0-b5eae253fc52
JPN,WAS,TTX,Washington Pentagon AHP,38.947722,-77.042388,-500,t,en-us,f,793b256d-a241-4151-86f0-b5eae253fc52
YHU,YMQ,TTX,Montreal St Hubert Apt,45.553337,-73.731757,-500,t,en-us,f,eaddadf6-9085-4b25-9129-e47efcf9fe82
YMX,YMQ,TTX,Montreal Mirabel Intl Apt,45.553337,-73.731757,-500,t,en-us,f,eaddadf6-9085-4b25-9129-e47efcf9fe82
YUL,YMQ,TTX,Montreal Pierre Elliott Trudeau Int Apt,45.553337,-73.731757,-500,t,en-us,f,eaddadf6-9085-4b25-9129-e47efcf9fe82
YHM,YTO,TTX,Toronto John C Munro Hamilton,43.558832,-79.743334,-500,t,en-us,f,8ae90caa-e08c-4961-8a6a-b396e7a3a77b
YKF,YTO,TTX,Toronto Region of Waterloo Int,43.558832,-79.743334,-500,t,en-us,f,8ae90caa-e08c-4961-8a6a-b396e7a3a77b
YKZ,YTO,TTX,Buttonville Airport,43.558832,-79.743334,-500,t,en-us,f,8ae90caa-e08c-4961-8a6a-b396e7a3a77b
YTZ,YTO,TTX,Toronto City Centre Apt,43.558832,-79.743334,-500,t,en-us,f,8ae90caa-e08c-4961-8a6a-b396e7a3a77b
YYZ,YTO,TTX,Toronto Lester B Pearson Intl Apt,43.558832,-79.743334,-500,t,en-us,f,8ae90caa-e08c-4961-8a6a-b396e7a3a77b
