code,source,name,latitude,longitude,timezone,is_visible,is_major,iata_type,default_language,is_deleted,cities_id,is_active,is_military
QWL,OAG,Crackenback Village Bus Station,-36.46667,148.48333,1000,t,NULL,5,en-us,f,NULL,f,NULL
QWM,OAG,Longmont Bus Station,40.16667,-105.1,-700,t,f,5,en-us,f,06a2081b-f304-4252-a2ac-d53813808f72,f,NULL
QWO,OAG,Holstebro Bus Station,56.35,8.63333,100,t,NULL,5,en-us,f,NULL,f,NULL
QWP,OAG,Winter Park Bus Station,39.76667,-104.88889,-700,t,NULL,5,en-us,f,NULL,f,NULL
QWQ,OAG,Struer Bus Station,56.48333,8.61667,100,t,NULL,5,en-us,f,NULL,f,NULL
QWY,OAG,Corvallis/Albany Bus Station,44.50278,-123.28333,-800,t,f,5,en-us,f,03ed6563-dcc9-4485-946a-cd232d25502a,f,NULL
QWZ,OAG,Best Bus Station,51.51333,5.39611,100,t,NULL,5,en-us,f,NULL,f,NULL
QXF,OAG,Vestbjerg Z1 Bus Station,57.13333,9.98333,100,t,NULL,5,en-us,f,NULL,f,NULL
QXK,OAG,St-Genis Bus Station,46.25,6.01667,100,t,NULL,5,en-us,f,NULL,f,NULL
QXZ,OAG,Woergl Bus Station,47.49139,12.06111,100,t,NULL,5,en-us,f,NULL,t,NULL
QYC,OAG,Drachten Bus Station,53.11667,6.1,100,t,NULL,5,en-us,f,NULL,f,NULL
QYQ,OAG,Sulsted Bus Station,57.15,9.96667,100,t,NULL,5,en-us,f,NULL,f,NULL
QYT,OAG,Paterswolde Bus Station,53.13333,6.55,100,t,NULL,5,en-us,f,NULL,f,NULL
QYY,OAG,Bialystok Bus Station,53.13222,23.135,100,t,NULL,5,en-us,f,NULL,f,NULL
QYZ,OAG,Heerenveen Bus Station,52.95,5.91667,100,t,NULL,5,en-us,f,NULL,f,NULL
QZC,OAG,Smiggin Holes Bus Station,-36.5,148.25,1000,t,NULL,5,en-us,f,NULL,f,NULL
QZD,OAG,Szeged Bus Station,46.25,20.16667,100,t,NULL,5,en-us,f,NULL,f,NULL
