code,source,name,latitude,longitude,timezone,is_visible,is_major,iata_type,default_language,is_deleted,cities_id,is_active,is_military
ACV,OAG,Arcata/Eureka Airport,40.97806,-124.10861,-800,t,t,2,en-us,f,3f73ebdc-cb22-4799-9510-2a04d6c503c1,t,f
ACX,OAG,Xingyi Airport,25.08556,104.95944,800,t,t,2,en-us,f,80680de5-e6e1-4a90-bb62-e375537d28f0,t,f
ACY,OAG,Atlantic City Intl Airport,39.4575,-74.57722,-500,t,t,1,en-us,f,4a819d1c-261e-4642-9b04-7a6d4ce979ac,t,f
ACZ,OAG,Zabol Airport,31.09833,61.54389,330,t,t,2,en-us,f,85e59a03-7cc0-4117-91e2-ed08a4274893,t,f
ADA,OAG,Adana Airport,36.98222,35.28028,300,t,t,2,en-us,f,60519550-3d69-46d2-8d27-bd0e7a46cc45,t,f
ADB,OAG,Izmir Adnan Menderes Airport,38.2925,27.15694,300,t,t,2,en-us,f,f9e181de-7cd8-4e0f-bea8-341a1bfbae50,t,f
ADC,OAG,Andakombe,-7.15,145.75,1000,t,NULL,3,en-us,f,NULL,f,f
ADD,OAG,Addis Ababa Airport,8.97778,38.79944,300,t,t,1,en-us,f,0b3517ff-6889-47cf-87c5-0691dc6a3254,t,f
ADE,OAG,Aden Airport,12.82944,45.02889,300,t,t,2,en-us,f,1dbac7c8-5d3b-4ce1-a1b3-1ac33824ac6b,t,f
ADF,OAG,Adiyaman Airport,37.73139,38.46889,300,t,t,2,en-us,f,233d7e11-687a-4979-b334-c7d055eeca0a,t,f
ADG,OAG,Adrian,41.9,-84.03333,-500,t,f,9,en-us,f,9e5def3c-7dcd-4b5c-96ce-f4bee85513fa,f,f
ADH,OAG,Aldan Airport,58.60278,125.40667,900,t,NULL,3,en-us,f,NULL,t,f
ADI,OAG,Arandis,-22.4,15,100,t,NULL,3,en-us,f,NULL,f,f
ADJ,OAG,Amman Marka Intl Airport,31.97278,35.99167,200,t,t,2,en-us,f,5694aaa1-7923-4d7c-8fe7-bc1e7cfdc94e,f,f
ADK,OAG,Adak Island Airport,51.88111,-176.64833,-1000,t,t,1,en-us,f,bfda149c-8d63-4cec-b109-2ae5324ad4ec,t,f
ADL,OAG,Adelaide Intl Airport,-34.945,138.53056,930,t,t,1,en-us,f,a58388a9-3bd1-43ab-b407-b75b70abb51d,t,f
ADM,OAG,Ardmore Municipal Airport,34.3,-97.01667,-600,t,f,9,en-us,f,d8b4924f-681f-4f14-841e-5d1d2490621b,f,f
ADN,OAG,Andes,5.66667,-75.88333,-500,t,NULL,3,en-us,f,NULL,f,f
ADO,OAG,Andamooka,-31.01667,137.15,930,t,NULL,3,en-us,f,NULL,f,f
ADP,OAG,Ampara,7.3375,81.62583,530,t,NULL,3,en-us,f,NULL,f,f
ADQ,OAG,Kodiak Airport,57.75,-152.49389,-900,t,t,2,en-us,f,c1863980-3021-4c16-b45b-a20be9ae1d68,t,f
ADR,OAG,Andrews,33.45,-79.56667,-500,t,NULL,3,en-us,f,NULL,f,f
ADS,OAG,Dallas Addison Airport,32.97028,-96.83722,-600,t,f,9,en-us,f,29ebc19f-9545-4a16-9145-17d42c03d13f,t,f
ADT,OAG,Ada,34.8,-96.66667,-600,t,f,9,en-us,f,9566cfb7-1867-410c-9a7f-8299f5b5115f,f,f
ADU,OAG,Ardabil Airport,38.32556,48.42417,330,t,t,2,en-us,f,2318e70e-0f22-4ec5-aa51-4d094c7ab2a5,t,f
ADV,OAG,Addeain,11.40222,26.11861,300,t,f,9,en-us,f,1daab8a8-6dad-4ddf-9eda-c7ec8aa5be91,f,f
ADW,OAG,Camp Springs,38.80889,-76.87083,-500,t,f,9,en-us,f,e4a1cfdd-24eb-4b60-8197-450449483820,f,f
ADX,OAG,St Andrews,56.36667,-2.86667,0,t,NULL,3,en-us,f,NULL,f,f
ADY,OAG,Alldays,-22.66667,29.1,200,t,NULL,3,en-us,f,NULL,f,f
ADZ,OAG,San Andres Island Airport,12.58361,-81.71111,-500,t,t,2,en-us,f,d0bc8de7-06cd-47a4-93bd-ce76b7e809c3,t,f
AEA,OAG,Abemama Airport,0.49056,173.83,1200,t,f,9,en-us,f,26ef04b9-7533-4c70-8664-376e98df888d,t,f
AEB,OAG,Baise Airport,23.72,106.96028,800,t,t,2,en-us,f,acd83022-6301-44e7-8782-72828711d787,t,f
AEE,OAG,Adareil,10.06111,32.96194,300,t,NULL,3,en-us,f,NULL,f,f
AEG,OAG,Aek Godang Airport,1.4,99.43,700,t,t,2,en-us,f,51cbf724-c822-4d80-8391-f0cc1576c831,t,f
