code,source,name,latitude,longitude,timezone,is_visible,is_major,iata_type,default_language,is_deleted,cities_id,is_active,is_military
CLV,TTX,Amtrak (Cloverdale),38.799896,-123.012077,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
CLW,TTX,Amtrak (Clearwater),27.975515,-82.730926,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CML,TTX,Amtrak (Camarillo),34.216468,-119.033111,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
CMO,TTX,Amtrak (Chemult),43.216903,-121.780662,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
CNA,TTX,Amtrak (Corsicana),32.091606,-96.461959,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
CNG,TTX,Amtrak (Corning),39.928478,-122.196929,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
CNH,TTX,Amtrak (Concord),43.2081,-71.5376,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CNL,TTX,Amtrak (Allensworth – flag stop),35.8636,-119.389,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
CNO,TTX,Amtrak (Chattanooga),35.030704,-85.194389,-600,t,NULL,NULL,en-us,f,NULL,t,NULL
COC,TTX,Amtrak (Corcoran),36.098194,-119.556503,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
COG,TTX,Amtrak (Columbus),32.461334,-84.987426,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
COI,TTX,Amtrak (Connersville),39.646465,-85.13356,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
COL,TTX,Amtrak (Columbus),39.959079,-82.996696,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
COM,TTX,Amtrak (Commerce),33.990905,-118.143737,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
COO,TTX,Amtrak (Coolidge),32.977844,-111.515518,-700,t,NULL,NULL,en-us,f,NULL,t,NULL
COS,TTX,Amtrak (Colorado Springs),38.831924,-104.819198,-700,t,NULL,NULL,en-us,f,NULL,t,NULL
COT,TTX,Amtrak (Coatesville),39.985618,-75.820663,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
COV,TTX,Amtrak (Connellsville),40.0181,-79.592597,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
COX,TTX,Amtrak (Colfax),39.099456,-120.952705,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
CPC,TTX,Amtrak (Cameron Park),38.660663,-120.968162,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
CPJ,OAG,Castellon de la Plana Rail Station,39.98833,-0.05222,100,t,NULL,NULL,en-us,f,NULL,t,NULL
CPN,TTX,Amtrak (Carpinteria),34.396003,-119.521316,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
CRB,TTX,Amtrak (Crawfordsville Bus Stop),40.0412,-86.874,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CRF,TTX,Amtrak (Crawfordsville),40.044254,-86.899383,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CRH,TTX,Amtrak (Cherry Hill NJ Transit Station),39.927482,-75.042434,-500,t,NULL,NULL,en-us,f,NULL,t,NULL
CRM,TTX,Amtrak (Carmel),36.539318,-121.908042,-800,t,NULL,NULL,en-us,f,NULL,t,NULL
